time;renderer_bypass;upstream_bypass;integrator_bypass;tracer_bypass;tracer_not_present;auto_zoom;auto_tracking;tracer_manual_bypass;unknown_cam;period;gameclock_minute;gameclock_second;stopped
160;0;0;0;0;0;0;0;0;0;1;17;23;False
161;0;0;0;0;0;0;0;0;0;1;17;22;False
162;0;0;0;0;0;0;0;0;0;1;17;21;False
163;0;0;0;0;0;0;0;0;0;1;17;20;False
164;0;0;0;0;0;0;0;0;0;1;17;19;False
165;0;0;0;0;0;0;0;0;0;1;17;18;False
166;0;0;0;0;0;0;0;0;0;1;17;17;False
167;0;0;0;0;0;0;0;0;0;1;17;16;False
168;0;0;0;0;0;0;0;0;0;1;17;15;False
169;0;0;0;0;0;0;0;0;0;1;17;14;False
170;0;0;0;0;0;0;0;0;0;1;17;13;False
171;0;0;0;0;0;0;0;0;0;1;17;12;False
172;0;0;0;0;0;0;0;0;0;1;17;11;False
173;0;0;0;0;0;0;0;0;0;1;17;10;False
174;0;0;0;0;0;0;0;0;0;1;17;9;False
175;0;0;0;0;0;0;0;0;0;1;17;8;False
176;0;0;0;0;0;0;0;0;0;1;17;7;False
177;0;0;0;0;0;0;0;0;0;1;17;6;False
178;0;0;0;0;0;0;0;0;0;1;17;5;False
179;0;0;0;0;0;0;0;0;0;1;17;4;False
180;0;0;0;0;0;0;0;0;1;1;17;3;False
181;0;0;0;0;0;0;0;0;1;1;17;2;False
182;0;0;0;0;0;0;0;0;1;1;17;2;False
183;0;0;0;0;0;0;0;0;1;1;17;2;False
184;0;0;0;0;0;0;0;0;1;1;17;2;False
185;0;0;0;0;0;0;0;0;0;1;16;58;False
186;0;0;0;0;0;0;0;0;0;1;16;57;False
187;0;0;0;0;0;0;0;0;0;1;16;56;False
188;0;0;0;0;0;0;0;0;0;1;16;55;False
189;0;0;0;0;0;0;0;0;0;1;16;54;False
190;0;0;0;0;0;0;0;0;0;1;16;53;False
191;0;0;0;0;0;0;0;0;0;1;16;52;False
192;0;0;0;0;0;0;0;0;0;1;16;52;True
193;0;0;0;0;0;0;0;0;1;1;16;52;True
194;0;0;0;0;0;0;0;0;1;1;16;52;True
195;0;0;0;0;0;0;0;0;1;1;16;52;True
196;0;0;0;0;0;0;0;0;1;1;16;52;True
197;0;0;0;0;0;0;0;0;1;1;16;52;True
198;0;0;0;0;0;0;0;0;1;1;16;52;True
199;0;0;0;0;0;0;0;0;1;1;16;52;True
200;0;0;0;0;0;0;0;0;1;1;16;52;True
201;0;0;0;0;0;0;0;0;1;1;16;52;True
202;0;0;0;0;0;0;0;0;1;1;16;52;True
203;0;0;0;0;0;0;0;0;1;1;16;52;True
204;0;0;0;0;0;0;0;0;1;1;16;52;True
205;0;0;0;0;0;0;0;0;1;1;16;52;True
206;0;0;0;0;0;0;0;0;1;1;16;52;True
207;0;0;0;0;0;0;0;0;1;1;16;52;True
208;0;0;0;0;0;0;0;0;1;1;16;52;True
209;0;0;0;0;0;0;0;0;1;1;16;52;True
210;0;0;0;0;0;0;0;0;1;1;16;52;True
211;0;0;0;0;0;0;0;0;1;1;16;52;True
212;0;0;0;0;0;0;0;0;1;1;16;52;True
213;0;0;0;0;0;0;0;0;1;1;16;52;True
214;0;0;0;0;0;0;0;0;1;1;16;52;True
215;0;0;0;0;0;0;0;0;1;1;16;52;True
216;0;0;0;0;0;0;0;0;1;1;16;52;True
217;0;0;0;0;0;0;0;0;1;1;16;52;True
218;0;0;0;0;0;0;0;0;1;1;16;52;True
219;0;0;0;0;0;0;0;0;1;1;16;52;True
220;0;0;0;0;0;0;0;0;1;1;16;52;True
221;0;0;0;0;0;0;0;0;1;1;16;52;True
222;0;0;0;0;0;0;0;0;1;1;16;52;True
223;0;0;0;0;0;0;0;0;1;1;16;52;True
224;0;0;0;0;0;0;0;0;1;1;16;52;True
225;0;0;0;0;0;0;0;0;1;1;16;52;True
226;0;0;0;0;0;0;0;0;1;1;16;52;True
227;0;0;0;0;0;0;0;0;1;1;16;52;True
228;0;0;0;0;0;0;0;0;1;1;16;52;True
229;0;0;0;0;0;0;0;0;1;1;16;52;True
230;0;0;0;0;0;0;0;0;1;1;16;52;True
231;0;0;0;0;0;0;0;0;1;1;16;52;True
232;0;0;0;0;0;0;0;0;1;1;16;52;True
233;0;0;0;0;0;0;0;0;1;1;16;52;True
234;0;0;0;0;0;0;0;0;1;1;16;52;True
235;0;0;0;0;0;0;0;0;1;1;16;52;True
236;0;0;0;0;0;0;0;0;1;1;16;52;True
237;0;0;0;0;0;0;0;0;1;1;16;52;True
238;0;0;0;0;0;0;0;0;1;1;16;52;True
239;0;0;0;0;0;0;0;0;1;1;16;52;True
240;0;0;0;0;0;0;0;0;1;1;16;52;True
241;0;0;0;0;0;0;0;0;1;1;16;52;True
242;0;0;0;0;0;0;0;0;1;1;16;52;True
243;0;0;0;0;0;0;0;0;1;1;16;52;True
244;0;0;0;0;0;0;0;0;1;1;16;52;True
245;0;0;0;0;0;0;0;0;1;1;16;52;True
246;0;0;0;0;0;0;0;0;1;1;16;52;True
247;0;0;0;0;0;0;0;0;1;1;16;52;True
248;0;0;0;0;0;0;0;0;1;1;16;52;True
249;0;0;0;0;0;0;0;0;1;1;16;52;True
250;0;0;0;0;0;0;0;0;1;1;16;52;True
251;0;0;0;0;0;0;0;0;1;1;16;52;True
252;0;0;0;0;0;0;0;0;1;1;16;52;True
253;0;0;0;0;0;0;0;0;0;1;16;52;True
254;0;0;0;0;0;0;0;0;0;1;16;52;True
255;0;0;0;0;0;0;0;0;0;1;16;52;False
256;0;0;0;0;0;0;0;0;0;1;16;51;False
257;0;0;0;0;0;0;0;0;0;1;16;50;False
258;0;0;0;0;0;0;0;0;0;1;16;49;False
259;0;0;0;0;0;0;0;0;0;1;16;48;False
260;0;0;0;0;0;0;0;0;0;1;16;47;False
261;0;0;0;0;0;0;0;0;0;1;16;46;False
262;0;0;0;0;0;0;0;0;0;1;16;45;False
263;0;0;0;0;0;0;0;0;0;1;16;44;False
264;0;0;0;0;0;0;0;0;0;1;16;43;False
265;0;0;0;0;0;0;0;0;0;1;16;42;False
266;0;0;0;0;0;0;0;0;0;1;16;41;True
267;0;0;0;0;0;0;0;0;1;1;16;41;True
268;0;0;0;0;0;0;0;0;1;1;16;41;True
269;0;0;0;0;0;0;0;0;1;1;16;41;True
270;0;0;0;0;0;0;0;0;1;1;16;41;True
271;0;0;0;0;0;0;0;0;1;1;16;41;True
272;0;0;0;0;0;0;0;0;1;1;16;41;True
273;0;0;0;0;0;0;0;0;1;1;16;41;True
274;0;0;0;0;0;0;0;0;1;1;16;41;True
275;0;0;0;0;0;0;0;0;1;1;16;41;True
276;0;0;0;0;0;0;0;0;1;1;16;41;True
277;0;0;0;0;0;0;0;0;1;1;16;41;True
278;0;0;0;0;0;0;0;0;1;1;16;41;True
279;0;0;0;0;0;0;0;0;1;1;16;41;True
280;0;0;0;0;0;0;0;0;1;1;16;41;True
281;0;0;0;0;0;0;0;0;1;1;16;41;True
282;0;0;0;0;0;0;0;0;1;1;16;41;True
283;0;0;0;0;0;0;0;0;1;1;16;41;True
284;0;0;0;0;0;0;0;0;1;1;16;41;True
285;0;0;0;0;0;0;0;0;0;1;16;41;True
286;0;0;0;0;0;0;0;0;0;1;16;40;False
287;0;0;0;0;0;0;0;0;0;1;16;39;False
